"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Turkmenistan","TKM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","9864","9741","9620","9502","9397","9302","9218","9144","9078","9012","8940","8880","8823","8779","8720","8624","8488","8295","8051","7779","7484","7197","6939","6726","6563","6417","6301","6188","6125","6121","6160","6221","6305","6384","6428","6410","6318","6163","5949","5726",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510675","490923","470961","450856","430844","410765","390862","371249","353113","334097","315647","298461","282195","266927","252722","239624","227800","217284","208018","199827","199516","185909","180161","174918","170167","165862","164842","158235",
"Timor-Leste","TLS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","4358","4276","4212","4170","4151","4146","4146","4135","4105","4047","3957","3834","3679","3499","3311","3128","2956","2808","2683","2577","2485","2404","2331","2262","2195","2129","2063","2002","1941","1899","1853","1809",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399021","381172","363548","346151","329198","312883","297699","283710","270920","259461","249347","240514","232787","226148","220373","215403","211281","207851","205070","203018","201608","200619","199447","197292","194147","190075","185333","180067",
"Tonga","TON","Number of infant deaths","SH.DTH.IMRT","","","","","174","167","158","149","139","129","119","110","102","96","91","88","85","83","81","80","78","76","75","73","70","68","66","63","61","58","56","54","52","50","48","47","45","44","43","42","41","41","41","41","41","41","41","41","42","42","42","42","41","40","39","38","36","35",
"South Asia (IDA & IBRD)","TSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3357039","3283017","3209686","3137705","3065455","2991913","2916474","2837929","2756526","2673949","2590543","2506711","2424487","2344520","2267621","2189358","2111741","2032334","1950664","1867866","1784467","1702460","1622949","1547273","1476325","1409702","1348058","1292072",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2362192","2392944","2424375","2456289","2489966","2512970","2532340","2547666","2553986","2549868","2537771","2516088","2487377","2453553","2416018","2376416","2338328","2297784","2257227","2216838","2177766","2138154","2098859","2062234","2028133","1994665","1962403","1931873",
"Trinidad and Tobago","TTO","Number of infant deaths","SH.DTH.IMRT","1722","1680","1626","1559","1482","1402","1323","1250","1190","1143","1109","1088","1077","1070","1065","1059","1056","1056","1057","1059","1061","1057","1045","1026","998","963","922","877","830","784","740","701","666","634","607","583","564","551","542","537","535","537","542","548","555","562","567","571","570","564","556","542","527","508","488","466","445","422",
"Tunisia","TUN","Number of infant deaths","SH.DTH.IMRT","","","","33026","31906","30738","29532","28323","27101","25876","24692","23607","22575","21576","20586","19599","18637","17700","16805","15970","15206","14517","13888","13292","12718","12156","11603","11057","10507","9949","9412","8856","8307","7760","7206","6674","6162","5671","5219","4803","4430","4109","3836","3610","3415","3255","3128","3030","2954","2896","2847","2799","2749","2690","2613","2524","2427","2318",
"Turkey","TUR","Number of infant deaths","SH.DTH.IMRT","208029","203781","199182","194481","190071","186099","182593","179549","176798","174364","172054","169553","166929","163977","160581","156692","152512","148014","143376","138560","133651","128417","122781","116916","110799","104601","98470","92533","86920","81711","76950","72676","68763","65174","61769","58570","55488","52425","49420","46443","43542","40660","37920","35263","32804","30512","28399","26437","24631","22929","21369","19931","18587","17313","16108","14969","13884","12868",
"Tuvalu","TUV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","10","9","9","9","9","10","10","10","10","11","11","11","11","11","11","11","11","10","10","10","10","10","9","9","9","9","8","8","8","7","7","7","6","6","6","6","6","6","5","5","5","5",
"Tanzania","TZA","Number of infant deaths","SH.DTH.IMRT","68646","69996","71265","72499","73742","74845","75942","76972","78066","79173","80319","81431","82545","83598","84524","85395","86224","86999","87907","88984","90460","92429","94767","97322","99937","102265","104227","105892","107278","108626","110090","111626","113200","114674","115984","116976","117466","117247","116173","114283","111650","108517","105238","102118","99430","96899","95619","93830","92248","91583","89531","87834","86933","85965","85450","84261","83184","81716",
"Uganda","UGA","Number of infant deaths","SH.DTH.IMRT","42966","43336","43829","44399","45010","45706","46424","47199","48052","49009","50147","51564","53203","55222","57553","60215","63137","66231","69275","72146","74970","76934","78125","78856","79536","80579","82057","84076","86366","88564","90332","91795","93048","94368","95803","97403","99048","100523","101568","102020","101622","100455","98596","96119","93242","90154","87169","84191","81316","79262","76848","74379","71165","69216","67569","65764","63831","62416",
"Ukraine","UKR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","19562","19181","18832","18476","18190","17892","17630","17360","17024","16607","16083","15489","14830","14129","13401","12686","12002","11398","10869","10409","10002","9629","9259","8849","8405","7916","7407","6908","6449","6069","5774","5568","5435","5366","5340","5308","5233","5109","4936","4726","4503","4285","4078","3882","3698","3521",
"Upper middle income","UMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1938086","1843202","1734034","1619265","1507367","1402910","1310397","1227774","1153143","1085630","1022369","964038","908926","856321","807010","760980","719300","680155","646553","614207","586723","561973","537676","512473","488169","465022","443905","419375",
"Uruguay","URY","Number of infant deaths","SH.DTH.IMRT","3183","3148","3089","3026","2975","2939","2913","2892","2865","2820","2777","2765","2794","2845","2896","2912","2854","2706","2490","2236","1985","1773","1614","1501","1428","1378","1332","1280","1227","1181","1143","1114","1092","1072","1050","1022","984","936","886","842","804","775","750","723","688","646","602","558","518","485","458","436","419","404","388","372","354","336",
"United States","USA","Number of infant deaths","SH.DTH.IMRT","109480","106130","102411","98423","94271","90073","85615","81314","76917","72803","68997","65199","61674","58378","55287","52410","49759","47612","45661","44143","43016","41952","41196","40405","39856","39541","39151","38693","38500","37924","36942","36187","34990","33692","32651","31568","30480","29426","28762","28496","27974","27852","27777","27717","27987","27869","27670","27015","26611","26116","25225","24677","24170","23742","23413","23184","23037","22943",
"Uzbekistan","UZB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","50514","49090","47777","46549","45446","44375","43458","42718","42169","41849","41731","41640","41402","40766","39772","38452","36934","35174","33276","31348","29488","27825","26404","25251","24339","23597","22962","22337","21675","20959","20109","19172","18159","17140","16079","15034","14029","13082",
"St. Vincent and the Grenadines","VCT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","174","182","189","193","194","189","180","169","155","141","129","117","106","95","86","78","71","65","60","57","54","52","50","49","48","47","46","46","45","44","43","42","41","40","39","39","39","38","37","36","35","34","32","31","29","28","26","25",
"Venezuela, RB","VEN","Number of infant deaths","SH.DTH.IMRT","21844","22024","22161","22264","22306","22265","22119","21835","21461","21032","20544","20036","19593","19225","18940","18716","18521","18319","18058","17766","17440","17091","16786","16521","16294","16083","15833","15509","15098","14630","14166","13737","13385","13139","12938","12697","12357","11945","11506","11663","10710","10426","10181","9936","9679","9411","9149","8922","8762","8661","8599","8603","8787","9272","10155","11520","13335","15345",
"British Virgin Islands","VGB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Number of infant deaths","SH.DTH.IMRT","","","","","","81448","81926","82427","83032","83636","84237","84729","84998","85035","84763","84199","83463","82645","81731","80997","80385","79951","79704","79579","79460","79158","78591","77682","76329","74454","72072","69038","65344","61052","56445","51625","46930","42602","38819","35675","33189","31338","29966","29033","28398","28011","27845","27832","27918","28021","28099","28127","28071","27910","27675","27271","26736","26124",
"Vanuatu","VUT","Number of infant deaths","SH.DTH.IMRT","320","320","318","314","310","304","298","291","285","278","273","268","263","260","257","254","251","247","243","237","230","222","212","202","192","183","175","168","162","157","154","151","149","147","146","146","145","150","145","144","144","143","143","143","144","145","147","149","151","154","157","160","162","163","163","162","161","158",
"World","WLD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8772179","8595105","8404202","8208429","8016617","7819748","7630165","7444755","7259076","7069712","6878819","6685568","6492512","6302458","6123625","5934858","5760367","5586516","5420353","5248270","5090592","4922575","4765651","4615459","4473039","4336027","4208816","4084476",
"Samoa","WSM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","168","161","155","148","143","138","133","128","124","120","117","113","110","107","103","99","96","93","91","89","88","87","86","86","90","83","82","80","78","75","73","70","68",
"Kosovo","XKX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Number of infant deaths","SH.DTH.IMRT","","","","","","73257","72935","72150","71099","69791","68486","67225","66230","65491","64984","64515","63956","63232","62329","61320","60175","58889","57584","56441","55543","54882","54537","54428","54469","54640","54858","54990","54993","54825","54472","53936","53196","52208","50953","49488","47935","46373","44793","43279","41847","40476","39193","37954","36760","35808","35335","35441","35866","36328","36726","37052","37308","37504",
"South Africa","ZAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","81310","78995","76711","74493","72266","70204","68128","66056","64075","62085","60091","58136","56177","54327","52595","51128","50038","49436","49388","49912","50880","52119","53439","54785","56102","57360","58490","59495","59666","59263","58548","57132","53669","51213","46360","44405","43252","42110","39929","38049","37261","35010","33536",
"Zambia","ZMB","Number of infant deaths","SH.DTH.IMRT","18000","18282","18574","18900","19251","19651","20112","20619","21127","21553","21872","22066","22182","22282","22457","22747","23208","23828","24567","25333","26169","27048","28016","29138","30446","31932","33488","34994","36433","37735","38905","39980","40978","41824","42457","42979","43542","44145","44644","44791","44338","43055","41014","38738","36313","34002","32446","31970","30902","30167","29432","28913","28412","28209","27600","26931","26748","26418",
"Zimbabwe","ZWE","Number of infant deaths","SH.DTH.IMRT","16232","16324","16385","16412","16425","16428","16454","16515","16678","16927","17262","17682","18180","18764","19404","20059","20697","21310","21823","22155","22225","21947","21438","20780","20068","19436","18938","18629","18531","18669","19027","19553","20197","20931","21656","22397","22906","23192","23325","23346","23440","23647","23990","24394","25221","26068","27209","27925","28188","28125","27549","26649","25109","23819","22377","21332","20302","19375",
